date,open,high,low,close,volume
201903060901,50300,50300,50300,50300,1
201903060903,50200,50200,50200,50200,1
201903061004,49350,49350,49350,49350,1
201903061005,48950,48950,48950,48950,1
201903061038,49900,49900,49900,49900,1
201903061359,49150,49150,48850,48850,150
201903061400,49500,49500,49500,49500,1
201903061505,49300,49500,49300,49500,5
201903061530,49400,49400,49400,49400,4
201903070901,49400,49400,49400,49400,1
201903070902,49000,50200,49000,50200,2
201903070912,50200,50200,50200,50200,1
201903070947,49200,49200,49000,49000,6
201903071029,49050,49800,49050,49800,2
201903071214,49350,49350,49350,49350,1
201903071216,49000,49000,49000,49000,3
201903071217,48950,49500,48850,49500,8
201903071226,48900,48900,48900,48900,2
201903071238,48850,49400,48850,49400,2
201903071425,49400,49400,49400,49400,2
201903071518,49250,49300,49250,49300,5
201903080907,49000,49000,48900,48900,15
201903081015,48900,48900,48850,48850,17
201903081053,48850,48850,48850,48850,1
201903081054,49300,49300,49300,49300,1
201903081134,49150,49150,49150,49150,1
201903081249,49200,49200,49200,49200,5
201903081339,48900,48900,48850,48850,4
201903081432,48900,48900,48900,48900,1
201903081454,48750,49100,48750,49100,2
201903081502,49100,49100,49100,49100,5
201903081515,49100,49100,49100,49100,7
201903081530,49100,49100,49100,49100,3
201903110901,49100,49100,49100,49100,1
201903110946,48650,48650,48550,48550,5
201903110950,48500,48500,48500,48500,4
201903111053,48600,48850,48600,48850,7
201903111100,48600,48600,48600,48600,2
201903111108,48600,48600,48600,48600,34
201903111118,48600,48600,48600,48600,55
201903111123,48550,48900,48550,48900,6
201903111132,48500,48500,48500,48500,1
201903111139,48300,48300,48300,48300,1
201903111140,48300,48850,48300,48300,3
201903111141,48850,48850,48250,48850,5
201903111159,48850,48900,48850,48900,35
201903111200,48900,48900,48900,48900,65
201903111203,48900,48900,48900,48900,150
201903111222,49000,49000,49000,49000,1
201903111243,49000,49000,49000,49000,1
201903111301,49000,49000,49000,49000,2
201903111333,48800,48800,48800,48800,2
201903111340,48900,48900,48800,48800,4
201903111342,48800,48800,48800,48800,2
201903111415,48450,48950,48450,48950,6
201903111416,48500,48950,48500,48950,2
201903111530,49000,49000,49000,49000,3
201903120901,50500,50500,50500,50500,2
201903120906,49150,49150,49100,49100,20
201903120919,49600,49600,49600,49600,1
201903120942,49500,49500,49500,49500,1
201903121028,49450,49450,49450,49450,1
201903121043,49400,49400,49400,49400,1
201903121325,49150,49150,49000,49000,175
201903121359,48950,49000,48950,49000,20
201903121400,49000,49000,49000,49000,9
201903121407,49000,49000,49000,49000,2
201903121432,49000,49000,49000,49000,20
201903121444,49000,49000,49000,49000,5
201903121448,49000,49000,49000,49000,1
201903121512,49000,49000,49000,49000,8
201903121513,49000,49000,48950,48950,2
201903121530,49000,49000,49000,49000,20
201903130901,49000,49000,49000,49000,18
201903130903,49000,49000,49000,49000,2
201903130906,49900,49900,49900,49900,13
201903130919,49400,49500,49400,49500,100
201903130926,49450,49450,49450,49450,2
201903130928,49200,49200,49200,49200,4
201903130932,49200,49200,49200,49200,1
201903130933,49200,49500,49200,49200,8
201903130946,49200,49200,49200,49200,1
201903130947,49500,49500,49500,49500,1
201903130951,49500,49500,49500,49500,7
201903130952,49200,49200,49200,49200,10
201903130953,49050,49050,49050,49050,15
201903131024,49050,49050,49050,49050,5
201903131034,49050,49050,49050,49050,2
201903131039,49050,49050,49050,49050,1
201903131043,49000,49000,49000,49000,200
201903131047,49000,49000,49000,49000,30
201903131155,49000,49000,49000,49000,5
201903131156,48950,48950,48950,48950,11
201903131201,49000,49000,49000,49000,20
201903131209,49000,49000,49000,49000,5
201903131307,48950,48950,48950,48950,6
201903131352,49000,49000,49000,49000,23
201903131355,49000,49000,49000,49000,37
201903131356,48950,48950,48950,48950,1
201903131418,48900,48900,48850,48850,3
201903131444,48800,48800,48800,48800,2
201903131507,48850,48850,48800,48800,67
201903131519,48600,48950,48600,48950,2
201903131520,48950,48950,48950,48950,1
201903131530,48950,48950,48950,48950,5
201903140904,49700,49700,49700,49700,1
201903140924,49500,49500,49500,49500,1
201903140955,49000,49000,48950,48950,12
201903140956,48850,48850,48800,48800,12
201903141002,48900,48900,48850,48850,6
201903141003,48850,48850,48800,48800,5
201903141057,48850,48850,48850,48850,4
201903141105,48850,48850,48850,48850,50
201903141131,48850,48850,48850,48850,1
201903141133,48850,48850,48850,48850,5
201903141144,48850,48850,48850,48850,1
201903141154,48800,48800,48700,48700,41
201903141200,48700,48700,48700,48700,2
201903141202,48850,49150,48850,49150,11
201903141245,49150,49150,49150,49150,1
201903141315,48800,48800,48600,48600,68
201903141325,48600,48600,48600,48600,15
201903141329,48600,48950,48550,48950,12
201903141405,48600,48600,48600,48600,3
201903141447,48650,48650,48650,48650,3
201903141501,48650,48650,48650,48650,3
201903141502,48800,48850,48800,48850,2
201903141503,49000,49050,49000,49050,3
