date,open,high,low,close,volume
201903060901,11200,11200,11200,11200,238
201903060902,11250,11250,11250,11250,5
201903060904,11200,11200,11200,11200,250
201903060906,11200,11200,11200,11200,60
201903060909,11200,11200,11200,11200,5
201903060921,11150,11150,11150,11150,1
201903060922,11200,11200,11200,11200,1
201903060923,11150,11150,11150,11150,1
201903060925,11150,11150,11150,11150,5
201903060927,11150,11150,11150,11150,1
201903060929,11150,11150,11150,11150,1
201903060931,11150,11150,11150,11150,1
201903060932,11150,11150,11150,11150,363
201903060933,11150,11150,11150,11150,1
201903060934,11150,11150,11150,11150,2
201903060935,11150,11150,11150,11150,5
201903060937,11150,11150,11150,11150,201
201903060939,11150,11150,11100,11100,97
201903060941,11100,11100,11100,11100,1
201903060943,11100,11100,11100,11100,1
201903060944,11150,11150,11100,11100,5
201903060945,11100,11100,11100,11100,1
201903060946,11150,11150,11150,11150,20
201903060949,11150,11150,11150,11150,1
201903060955,11100,11100,11100,11100,4
201903061004,11150,11150,11100,11100,24
201903061006,11150,11150,11150,11150,1
201903061008,11150,11200,11150,11200,15
201903061013,11100,11100,11100,11100,4
201903061015,11150,11150,11150,11150,5
201903061020,11150,11150,11150,11150,208
201903061021,11200,11200,11200,11200,240
201903061022,11250,11250,11250,11250,10
201903061023,11200,11200,11200,11200,4
201903061025,11200,11200,11200,11200,326
201903061036,11150,11150,11150,11150,4
201903061042,11200,11200,11200,11200,1
201903061044,11200,11200,11200,11200,200
201903061051,11200,11200,11200,11200,10
201903061055,11150,11150,11150,11150,4
201903061056,11150,11150,11150,11150,2
201903061059,11200,11200,11200,11200,1
201903061100,11200,11200,11200,11200,8
201903061103,11150,11150,11150,11150,1
201903061106,11150,11150,11150,11150,1
201903061107,11150,11150,11150,11150,4
201903061108,11200,11200,11200,11200,4
201903061109,11200,11200,11150,11150,10
201903061112,11150,11150,11150,11150,1
201903061115,11150,11150,11150,11150,1
201903061118,11200,11200,11150,11150,11
201903061119,11150,11150,11150,11150,4
201903061121,11150,11150,11150,11150,1
201903061124,11150,11150,11150,11150,1
201903061125,11150,11150,11150,11150,10
201903061127,11200,11200,11200,11200,8
201903061128,11150,11150,11150,11150,1
201903061129,11200,11200,11200,11200,1
201903061130,11150,11150,11150,11150,4
201903061131,11150,11150,11150,11150,1
201903061132,11150,11150,11150,11150,35
201903061135,11150,11200,11150,11200,10
201903061138,11150,11150,11150,11150,1
201903061139,11200,11200,11200,11200,57
201903061140,11200,11200,11200,11200,10
201903061141,11200,11200,11150,11150,14
201903061142,11150,11150,11150,11150,1
201903061144,11200,11200,11200,11200,9
201903061145,11150,11150,11150,11150,1
201903061149,11200,11200,11150,11150,5
201903061152,11200,11200,11200,11200,1
201903061153,11150,11200,11150,11200,9
201903061154,11150,11150,11150,11150,4
201903061157,11150,11150,11150,11150,1
201903061200,11200,11200,11200,11200,3
201903061201,11150,11150,11150,11150,1
201903061202,11200,11200,11200,11200,9
201903061205,11150,11150,11150,11150,1
201903061207,11150,11150,11150,11150,4
201903061209,11150,11150,11150,11150,1
201903061211,11200,11200,11200,11200,11
201903061213,11150,11150,11150,11150,1
201903061217,11150,11150,11150,11150,1
201903061220,11200,11200,11200,11200,9
201903061221,11200,11200,11150,11150,11
201903061223,11200,11200,11150,11150,11
201903061225,11150,11150,11150,11150,1
201903061229,11200,11200,11200,11200,8
201903061230,11200,11200,11200,11200,78
201903061231,11200,11200,11200,11200,35
201903061238,11200,11200,11200,11200,40
201903061239,11250,11250,11250,11250,1
201903061244,11250,11250,11200,11200,330
201903061246,11200,11200,11200,11200,9
201903061251,11200,11200,11200,11200,4
201903061254,11150,11150,11150,11150,4
201903061255,11200,11200,11200,11200,8
201903061256,11150,11150,11150,11150,1
201903061300,11200,11200,11150,11150,11
201903061303,11150,11150,11150,11150,1
201903061304,11200,11200,11200,11200,9
201903061306,11150,11150,11150,11150,1
201903061307,11150,11150,11150,11150,4
201903061309,11200,11200,11200,11200,4
201903061310,11150,11150,11150,11150,1
201903061311,11200,11200,11200,11200,1
201903061313,11200,11200,11150,11150,10
201903061315,11200,11200,11200,11200,500
201903061316,11150,11150,11150,11150,1
201903061317,11150,11150,11150,11150,4
201903061320,11150,11150,11150,11150,1
201903061322,11200,11200,11200,11200,8
201903061323,11150,11150,11150,11150,80
201903061326,11150,11150,11150,11150,5
201903061329,11150,11150,11150,11150,1
201903061330,11200,11200,11200,11200,5
201903061331,11200,11200,11200,11200,9
201903061332,11200,11200,11150,11150,8
201903061335,11150,11150,11150,11150,4
201903061336,11150,11150,11150,11150,1
201903061338,11200,11200,11200,11200,4
201903061339,11150,11200,11150,11200,2
201903061340,11200,11200,11200,11200,9
201903061342,11150,11150,11150,11150,1
201903061344,11150,11150,11150,11150,4
201903061345,11150,11150,11150,11150,1
201903061346,11200,11200,11200,11200,3
201903061348,11150,11150,11150,11150,1
201903061349,11200,11200,11200,11200,9
201903061351,11150,11200,11150,11200,6
201903061353,11150,11200,11150,11200,5
201903061354,11150,11150,11150,11150,1
201903061355,11200,11200,11200,11200,1
201903061356,11200,11200,11200,11200,3
201903061357,11150,11200,11150,11200,2
201903061358,11200,11200,11200,11200,8
201903061359,11150,11200,11150,11200,7
201903061401,11200,11200,11200,11200,1
201903061402,11150,11150,11150,11150,1
201903061403,11150,11200,11150,11200,5
201903061404,11200,11200,11200,11200,1
201903061405,11150,11200,11150,11200,2
201903061406,11200,11200,11200,11200,9
201903061407,11200,11200,11200,11200,1
201903061408,11150,11150,11150,11150,1
201903061409,11200,11200,11200,11200,2
201903061411,11150,11150,11150,11150,4
201903061412,11200,11200,11200,11200,1
201903061413,11150,11150,11150,11150,1
201903061414,11200,11200,11200,11200,1
201903061415,11200,11200,11200,11200,9
201903061416,11150,11200,11150,11200,2
201903061418,11200,11200,11150,11150,5
201903061419,11150,11150,11150,11150,4
201903061420,11200,11200,11200,11200,1
201903061421,11150,11150,11150,11150,1
201903061422,11200,11200,11200,11200,1
201903061424,11150,11200,11150,11200,13
201903061426,11200,11200,11150,11150,2
201903061428,11150,11200,11150,11200,5
201903061429,11150,11200,11150,11200,2
201903061430,11200,11200,11200,11200,2
201903061431,11150,11150,11150,11150,1
201903061433,11200,11200,11200,11200,10
201903061434,11150,11150,11150,11150,1
201903061435,11150,11200,11150,11200,19
201903061436,11150,11150,11150,11150,1
201903061437,11200,11200,11200,11200,3
201903061439,11150,11150,11150,11150,1
201903061440,11150,11150,11150,11150,1
201903061441,11150,11150,11150,11150,2
201903061442,11150,11200,11150,11200,44
201903061443,11150,11150,11150,11150,1
201903061445,11200,11200,11150,11150,4
201903061446,11150,11200,11150,11200,17
