date,open,high,low,close,volume
201903060901,14700,14700,14700,14700,1
201903061001,14700,14700,14700,14700,1
201903061021,14700,14700,14700,14700,82
201903061031,14700,14700,14700,14700,3
201903061051,14650,14650,14650,14650,120
201903061101,14650,14650,14650,14650,100
201903061111,14600,14600,14600,14600,165
201903061121,14600,14600,14600,14600,64
201903061131,14650,14650,14650,14650,36
201903061141,14650,14650,14650,14650,27
201903061221,14700,14700,14700,14700,6
201903061231,14650,14650,14650,14650,17
201903061251,14650,14650,14650,14650,65
201903061351,14650,14650,14650,14650,50
201903061421,14700,14700,14700,14700,2
201903061441,14750,14750,14750,14750,1
201903061451,14650,14650,14650,14650,123
201903061511,14600,14600,14600,14600,483
201903061530,14650,14650,14650,14650,4
201903070931,14700,14700,14700,14700,500
201903071001,14700,14700,14700,14700,4
201903071021,14650,14650,14650,14650,20
201903071031,14650,14650,14650,14650,50
201903071041,14650,14650,14650,14650,50
201903071101,14650,14650,14650,14650,5
201903071151,14700,14700,14700,14700,1
201903071231,14700,14700,14700,14700,1
201903071251,14800,14800,14800,14800,50
201903071321,14750,14750,14750,14750,5
201903071331,14750,14750,14750,14750,1
201903071421,14700,14700,14700,14700,5
201903071451,14700,14700,14700,14700,5
201903071501,14750,14750,14750,14750,497
201903071530,14800,14800,14800,14800,182
201903080901,14950,14950,14950,14950,1
201903080931,14850,14850,14850,14850,2
201903080941,14850,14850,14850,14850,1
201903081001,14850,14850,14850,14850,4
201903081011,14850,14850,14850,14850,4
201903081021,14850,14850,14850,14850,6
201903081031,14850,14850,14850,14850,6
201903081041,14850,14850,14850,14850,4
201903081131,14850,14850,14850,14850,2
201903081141,14850,14850,14850,14850,1
201903081211,14850,14850,14850,14850,13
201903081241,14750,14750,14750,14750,30
201903081311,14750,14750,14750,14750,2
201903081411,14700,14700,14700,14700,100
201903110921,14700,14700,14700,14700,11
201903110931,14650,14650,14650,14650,8
201903110951,14700,14700,14700,14700,6
201903111001,14700,14700,14700,14700,1
201903111031,14700,14700,14700,14700,1
201903111051,14650,14650,14650,14650,146
201903111111,14650,14650,14650,14650,100
201903111121,14650,14650,14650,14650,10
201903111141,14650,14650,14650,14650,8
201903111211,14650,14650,14650,14650,1
201903111231,14600,14600,14600,14600,2
201903111241,14600,14600,14600,14600,273
201903111301,14650,14650,14650,14650,31
201903111401,14650,14650,14650,14650,2
201903111441,14650,14650,14650,14650,15
201903111501,14700,14700,14700,14700,386
201903111530,14700,14700,14700,14700,1
201903120921,14700,14700,14700,14700,9
201903120931,14800,14800,14800,14800,300
201903120951,14700,14700,14700,14700,15
201903121001,14800,14800,14800,14800,301
201903121011,14700,14700,14700,14700,5
201903121041,14750,14750,14750,14750,10
201903121051,14800,14800,14800,14800,50
201903121101,14800,14800,14800,14800,11
201903121121,14800,14800,14800,14800,39
