,name,url
100,현대약품,https://finance.naver.com/item/main.nhn?code=004310
101,화일약품,https://finance.naver.com/item/main.nhn?code=061250
102,녹십자홀딩스,https://finance.naver.com/item/main.nhn?code=005250
103,에스씨엠생명과학,https://finance.naver.com/item/main.nhn?code=298060
104,동아쏘시오홀딩스,https://finance.naver.com/item/main.nhn?code=000640
105,보령제약,https://finance.naver.com/item/main.nhn?code=003850
106,동구바이오제약,https://finance.naver.com/item/main.nhn?code=006620
107,종근당홀딩스,https://finance.naver.com/item/main.nhn?code=001630
108,대봉엘에스,https://finance.naver.com/item/main.nhn?code=078140
109,코오롱생명과학,https://finance.naver.com/item/main.nhn?code=102940
110,더블유에스아이,https://finance.naver.com/item/main.nhn?code=299170
111,국제약품,https://finance.naver.com/item/main.nhn?code=002720
112,휴온스,https://finance.naver.com/item/main.nhn?code=243070
113,일양약품,https://finance.naver.com/item/main.nhn?code=007570
114,경보제약,https://finance.naver.com/item/main.nhn?code=214390
115,에이치엘사이언스,https://finance.naver.com/item/main.nhn?code=239610
116,비씨월드제약,https://finance.naver.com/item/main.nhn?code=200780
117,유나이티드제약,https://finance.naver.com/item/main.nhn?code=033270
118,에스텍파마,https://finance.naver.com/item/main.nhn?code=041910
119,신풍제약우,https://finance.naver.com/item/main.nhn?code=019175
120,녹십자홀딩스2우,https://finance.naver.com/item/main.nhn?code=005257
121,삼천당제약,https://finance.naver.com/item/main.nhn?code=000250
122,JW신약,https://finance.naver.com/item/main.nhn?code=067290
123,옵티팜,https://finance.naver.com/item/main.nhn?code=153710
124,삼성제약,https://finance.naver.com/item/main.nhn?code=001360
125,셀트리온헬스케어,https://finance.naver.com/item/main.nhn?code=091990
126,삼일제약,https://finance.naver.com/item/main.nhn?code=000520
127,에이치엘비생명과학,https://finance.naver.com/item/main.nhn?code=067630
128,셀트리온,https://finance.naver.com/item/main.nhn?code=068270
129,셀트리온제약,https://finance.naver.com/item/main.nhn?code=068760
130,유유제약,https://finance.naver.com/item/main.nhn?code=000220
131,코미팜,https://finance.naver.com/item/main.nhn?code=041960
