,code,market_cap,per,kospi,reg_date
0,A063170,3079,-1.0,kosdaq,2008/07/01
1,A051390,538,16.4,kosdaq,2001/11/15
2,A013000,709,247.0,kospi,1989/09/05
3,A015540,862,-1.0,kospi,1989/09/02
4,A058530,212,-1.0,kosdaq,2002/02/05
5,A950160,4896,-1.0,kosdaq,2017/11/06
6,A060280,2869,715.0,kosdaq,2002/07/03
7,A007720,1457,-1.0,kosdaq,1994/01/06
